ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closestsecondary,secondary_school_ranking
ID941874230,29 Gillespie Rd,ST ALBANS,626000.0,h,19/08/2017,3,1.0,2.0,557.0,34.0,-37.73497,144.7864,20001.0,904.8,30.48,False,1479.333,4398.667,502.0,Stevensville Primary School,474.1,not ranked,Victoria University Secondary College,575.3000000000001,not ranked
ID487715826,9/129 The Parade,ASCOT VALE,487500.0,u,27/06/2016,3,1.0,3.0,0.0,47.0,-37.7723,144.9094,20038.0,1129.8,15.27,False,2489.667,11817.333,1268.667,St Mary's School,237.2,159,Lowther Hall Anglican Grammar School,1464.1,not ranked
ID597299520,28 Carron St,BALWYN NORTH,1593000.0,h,3/06/2017,4,3.0,2.0,598.0,69.0,-37.78142,145.09226999999996,19935.0,3882.0,30.94,False,959.0,4476.667,324.0,Boroondara Park Primary School,972.0,192,Marcellin College,1121.8999999999999,169
ID165509454,2 Dunk Ct,HOPPERS CROSSING,418000.0,h,27/05/2017,3,2.0,1.0,435.0,45.0,-37.86767,144.68409,19922.0,2283.4,31.95,False,512.0,1119.667,175.667,Cambridge Primary School,738.4,not ranked,Baden Powell P-9 College,1063.3999999999999,not ranked
ID779610164,55 Warburton Rd,CANTERBURY,1385000.0,h,18/06/2016,3,1.0,1.0,444.0,109.0,-37.826,145.0734,19892.0,458.2,21.84,False,3703.667,18944.0,2039.333,Strathcona Baptist Girls' Grammar,707.2,69,Camberwell High School,464.9,112
ID945982235,14 Woodmason St,MALVERN,1437000.0,h,16/04/2016,3,1.0,1.0,313.0,109.0,-37.8511,145.0317,19911.0,902.8,20.0,False,610.0,1743.667,228.0,Malvern Central School,595.8,68,Lauriston Girls' School,596.7,not ranked
ID980549701,430 Whitehorse Rd,SURREY HILLS,1050000.0,h,24/06/2017,3,2.0,2.0,444.0,74.0,-37.81411,145.09055,19894.0,1146.5,25.79,False,2532.333,5455.0,713.0,Chatham Primary School,404.5,310,Fintona Girls' School,906.5999999999999,not ranked
ID393520621,10 Botherambo St,RICHMOND,1200000.0,t,25/02/2017,2,2.0,1.0,170.0,79.0,-37.8229,144.9931,22247.0,289.4,11.5,False,885.0,1901.0,227.667,Richmond Primary School,909.4,260,Richmond High School,1049.7,not ranked
ID861137063,1/5 Daventry St,RESERVOIR,424000.0,u,18/06/2016,2,1.0,1.0,141.0,39.0,-37.7149,145.0009,20010.0,580.5,33.61,True,824.667,1890.333,159.333,St Gabriel's School,508.6000000000001,not ranked,William Ruthven Secondary College,2036.5000000000002,not ranked
ID659624465,90 Truganini Rd,CARNEGIE,1550000.0,h,12/11/2016,4,2.0,2.0,757.0,89.0,-37.8925,145.0541,19920.0,800.0,23.04,False,3703.667,18944.0,2039.333,Carnegie Primary School,199.2,77,Kilvington Grammar School,1375.3,37
ID799566632,2/422 St Kilda St,BRIGHTON,1475000.0,t,7/11/2016,3,2.0,2.0,345.0,19.0,-37.8943,144.9907,19953.0,1212.8,25.33,True,2744.333,10289.667,780.0,Elsternwick Primary School,662.2,378,Star of the Sea College,598.9,54
ID404416437,23 Hotham St,TEMPLESTOWE LOWER,650000.0,h,28/05/2016,3,1.0,2.0,327.0,44.0,-37.7709,145.1104,19935.0,4637.8,30.94,False,2403.667,5212.333,586.667,Templestowe Heights Primary School,888.3,166,Templestowe College,1116.7,307
ID918782307,2 Derry St,ABERFELDIE,1740000.0,h,29/04/2017,4,2.0,2.0,746.0,69.0,-37.7595,144.8993,22253.0,1537.0,18.33,True,817.667,1779.667,181.0,Our Lady of the Nativity School,424.8,373,Ave Maria College,341.7,111
ID602203605,44 Morley St,GLENROY,825000.0,h,30/07/2016,4,2.0,4.0,768.0,49.0,-37.6979,144.9377,19961.0,1890.4,30.0,False,1683.667,8938.667,509.333,Belle Vue Park Primary School,660.6999999999999,not ranked,Glenroy Private,743.1999999999999,not ranked
ID217886570,9/561 Spencer St,WEST MELBOURNE,995000.0,u,18/03/2017,3,1.0,1.0,0.0,79.0,-37.8076,144.9474,22239.0,537.5,7.0,False,647.0,2861.333,222.667,North Melbourne Primary School,1027.3000000000002,182,Simonds Catholic College,515.2,262
ID618691010,95 Pellatt St,BEAUMARIS,1611000.0,h,12/08/2017,4,2.0,2.0,650.0,64.0,-37.98354000000001,145.04261,19865.0,1987.8,44.79,False,59.0,124.0,5.333,Stella Maris School,220.9,423,Beaumaris Secondary College,942.5,not ranked
ID927300574,41 Gordon St,NEWPORT,950000.0,t,29/07/2017,3,2.0,2.0,211.0,49.0,-37.83712,144.86686,19994.0,1598.1,16.41,False,84.333,293.333,23.0,Newport Gardens Primary School,917.0,411,Emmanuel College,2236.7,180
ID826514371,48 Elder St,BLACKBURN,1695000.0,h,3/06/2017,4,3.0,4.0,696.0,69.0,-37.81726,145.16061000000005,19898.0,982.9,31.07,False,2524.333,12864.667,738.667,Blackburn Primary School,352.8,195,Nunawading Christian College-Secondary,945.0,not ranked
ID330113248,77 Fraser Av,EDITHVALE,837000.0,h,23/09/2017,3,1.0,1.0,441.0,49.0,-38.03804,145.11728,19861.0,766.7,55.12,False,235.667,506.667,74.0,Edithvale Primary School,382.7,not ranked,Cornish College,3026.4,176
ID267271912,4 Bolton Av,HAMPTON,2515000.0,h,16/09/2017,3,2.0,2.0,604.0,5.0,-37.93105,144.99437,19950.0,684.2,30.67,False,1841.667,9184.667,533.333,St Mary's School,615.0,159,St Leonard's College,1188.5,43
ID659821767,5/19 Livingstone St,IVANHOE,690000.0,u,15/10/2016,2,1.0,1.0,103.0,49.0,-37.7671,145.0408,19933.0,453.5,27.15,True,555.667,1129.0,160.667,Ivanhoe Primary School,200.6,100,Ivanhoe Girls' Grammar School,559.3000000000001,49
ID519999036,2/60 David St,ALTONA,535600.0,h,30/07/2016,2,1.0,1.0,154.0,23.0,-37.8646,144.8272,19926.0,355.8,26.69,False,2489.667,11817.333,1268.667,St Mary's School,251.3,159,Altona College,809.6999999999999,not ranked
ID223340995,8/58 Sutherland Rd,ARMADALE,592500.0,u,10/12/2016,2,1.0,1.0,0.0,49.0,-37.8574,145.0174,19945.0,199.4,19.52,False,2489.667,11817.333,1268.667,Armadale Primary School,581.3000000000001,87,The King David School,613.8000000000001,27
ID978383274,2/3 Golf Rd,OAKLEIGH SOUTH,625000.0,u,27/11/2016,2,1.0,1.0,204.0,57.0,-37.9107,145.0891,19917.0,1151.8,29.27,False,136.333,302.667,42.0,Sacred Heart School,1005.3000000000001,66,Sacred Heart Girls' College,986.6,93
ID988125468,44 Graham Rd,HIGHETT,1430000.0,h,8/07/2017,3,1.0,0.0,703.0,49.0,-37.9511,145.04171000000005,19872.0,298.1,39.15,False,2837.0,9343.667,1212.667,Moorabbin Primary School,1027.8,237,Sandringham College,1754.2,304
ID265606098,8/67 High St,PRAHRAN,700000.0,u,12/11/2016,2,1.0,1.0,0.0,131.0,-37.851,144.988,19958.0,232.2,15.67,False,659.0,5219.333,338.333,Wesley College,568.6,202,Prahran High School,298.20000000000005,not ranked
ID623658993,43 Omar St,MAIDSTONE,915000.0,h,17/09/2016,3,1.0,3.0,667.0,7.0,-37.7784,144.8708,20022.0,2421.7,15.95,False,610.0,1743.667,228.0,Christ the King Primary School,1286.8999999999999,not ranked,Maribyrnong Secondary College,1539.3,not ranked
ID809656740,66 Fromer St,BENTLEIGH,1470000.0,h,11/02/2017,3,2.0,2.0,613.0,69.0,-37.929,145.0464,19937.0,1036.7,37.5,False,959.0,4476.667,324.0,Tucker Road Bentleigh Primary School,456.2,380,Our Lady of the Sacred Heart College,674.3,not ranked
ID754145824,26 Newsom St,ASCOT VALE,1000000.0,h,12/11/2016,3,2.0,2.0,440.0,64.0,-37.7746,144.9031,20039.0,1649.1,13.27,False,2489.667,11817.333,1268.667,St Mary's School,723.8,159,Maribyrnong Secondary College,1417.7,not ranked
ID964489067,18 Rose St,ARMADALE,1705000.0,h,20/05/2017,2,2.0,0.0,195.0,8.0,-37.851,145.0156,19946.0,150.8,18.52,False,2494.667,11307.0,1410.0,Armadale Primary School,232.2,87,Loreto Mandeville Hall,318.6,15
ID491169418,235 Military Rd,AVONDALE HEIGHTS,863000.0,h,28/08/2016,3,2.0,3.0,638.0,59.0,-37.7546,144.8585,20004.0,3928.1,22.48,False,1654.0,9119.667,550.0,St Martin de Porres School,510.90000000000003,not ranked,Essendon Keilor College,1929.2,460
ID372176486,2/61 Orient Av,MITCHAM,907800.0,u,26/08/2017,3,2.0,2.0,309.0,14.0,-37.82653,145.20261000000005,19901.0,1288.1,37.29,False,1471.0,7759.667,779.667,Rangeview Primary School,469.5,153,Vermont Secondary College,1974.3999999999999,129
ID464495354,129 Gordon St,BALWYN,2200000.0,h,3/12/2016,3,3.0,2.0,651.0,34.0,-37.8085,145.0764,19893.0,1829.3,23.79,False,925.667,4701.333,308.667,Balwyn Primary School,747.1,16,Fintona Girls' School,817.6,not ranked
ID303918920,3 Ruabon Rd,TOORAK,1170000.0,h,30/07/2016,3,1.0,1.0,405.0,84.0,-37.8475,145.00799999999995,19947.0,608.3,16.5,False,584.333,2731.667,211.667,Toorak Primary School,317.8,83,Loreto Mandeville Hall,610.7,15
ID155522240,38 McLean St,BRUNSWICK WEST,887500.0,h,26/08/2017,2,1.0,2.0,434.0,21.0,-37.75336,144.93872,20035.0,1479.9,21.76,False,941.333,5813.0,575.667,Brunswick North West Primary School,568.1,456,Antonine College,1400.0,482
ID355248269,49 Bellett St,CAMBERWELL,2513000.0,h,13/05/2017,4,2.0,3.0,696.0,109.0,-37.8355,145.0665,19851.0,334.7,25.0,False,3767.667,18925.0,2042.333,Camberwell Primary School,806.5,35,Camberwell High School,814.5,112
ID290693492,6/5 Peak St,MALVERN EAST,370000.0,u,14/05/2016,2,1.0,1.0,0.0,54.0,-37.8801,145.0874,19839.0,696.0,31.0,False,610.0,1743.667,228.0,Malvern Valley Primary School,523.5999999999999,139,Salesian College,1167.1000000000001,153
ID890012643,52 Tranmere Av,CARNEGIE,1966000.0,h,23/09/2017,4,2.0,2.0,627.0,114.0,-37.89184,145.06056,19919.0,626.0,25.24,False,3767.667,18925.0,2042.333,Carnegie Primary School,545.9000000000001,77,Kilvington Grammar School,1902.1,37
ID508397303,23 Fraserburgh Cr,GREENVALE,783000.0,h,8/07/2017,4,2.0,2.0,750.0,39.0,-37.64163,144.90493,40220.0,2712.7,38.47,False,512.0,1119.667,175.667,Roxburgh Homestead Primary School,1461.1000000000001,not ranked,Aitken College,1993.9,194
ID482383388,58 Cambridge Dr,GLEN WAVERLEY,1190000.0,h,23/09/2017,4,2.0,2.0,653.0,79.0,-37.89231,145.15141,19873.0,1705.0,42.11,False,56.333,98.333,19.0,Pinewood Primary School,833.4,51,Brentwood Secondary College,1537.1999999999998,168
ID788148288,3A Blanche St,COLLINGWOOD,1308000.0,t,8/04/2017,3,1.0,2.0,125.0,29.0,-37.7953,144.9864,19975.0,828.2,14.35,False,1097.667,5916.0,553.333,Clifton Hill Primary School,416.6,144,Collingwood College,928.3000000000001,359
ID128104020,40 Dellfield Dr,TEMPLESTOWE LOWER,950000.0,h,10/09/2016,5,3.0,2.0,700.0,46.0,-37.7658,145.124,19986.0,5626.2,45.19,False,2403.667,5212.333,586.667,Templestowe Heights Primary School,438.2,166,Templestowe College,234.7,307
ID115855656,23 Rosedale Cr,RINGWOOD EAST,1400000.0,h,29/07/2017,3,2.0,4.0,941.0,69.0,-37.81289,145.24213,19879.0,716.3,41.64,False,1609.333,6840.667,525.667,Our Lady of Perpetual Help School,959.2,not ranked,Ringwood Secondary College,489.8,185
ID117521175,14 Hampshire Rd,FOREST HILL,950000.0,h,23/09/2017,4,1.0,1.0,607.0,59.0,-37.84137,145.17911999999995,19899.0,2341.4,32.49,False,2006.667,7754.333,1051.333,Parkmore Primary School,323.79999999999995,not ranked,Emmaus College,839.6,142
ID355718071,52 Wilson Bvd,RESERVOIR,830000.0,h,22/08/2016,4,1.0,4.0,791.0,89.0,-37.7001,144.9936,20009.0,1648.8,35.44,False,824.667,1890.333,159.333,St Joseph the Worker School,243.0,not ranked,William Ruthven Secondary College,893.9,not ranked
ID348052123,9 Appleby Ct,SUNSHINE,717500.0,h,26/08/2017,3,1.0,1.0,554.0,34.0,-37.78514000000001,144.84561000000005,22241.0,1182.1,14.52,False,1412.0,6364.0,699.333,Sunshine Harvester Primary School,245.7,not ranked,Caroline Chisholm Catholic College,403.0,not ranked
ID505555969,6/47 Railway Pl W,FLEMINGTON,360000.0,u,10/12/2016,2,1.0,1.0,0.0,129.0,-37.7826,144.9273,20040.0,546.6,11.27,False,1923.667,8979.333,620.333,St Brendan's School,454.1,not ranked,Mount Alexander 7-12 College,524.5,not ranked
ID495172794,26 Millewa Av,MALVERN EAST,1638000.0,h,22/07/2017,3,1.0,1.0,697.0,29.0,-37.88354,145.07536000000005,19838.0,903.5,28.0,False,717.333,1763.0,318.667,Murrumbeena Primary School,524.3,80,Oakleigh Grammar,1524.7,270
ID882365457,49 Carn Av,IVANHOE,2100000.0,h,8/07/2017,5,3.0,2.0,740.0,59.0,-37.76086,145.05177,19934.0,358.6,29.81,False,591.667,1189.667,177.333,Ivanhoe Girls' Grammar School,662.4,38,Ivanhoe Girls' Grammar School,662.4,49
ID417213073,38 Upland Rd,STRATHMORE,1742000.0,h,12/08/2017,3,2.0,3.0,697.0,64.0,-37.74057,144.92172,20035.0,596.4,21.76,False,1412.0,6364.0,699.333,St Vincent de Paul's School,275.0,189,Strathmore Secondary College,591.8,133
ID572813896,3/30 Beaumont Pde,WEST FOOTSCRAY,280000.0,h,15/07/2017,1,1.0,1.0,45.0,49.0,-37.80728,144.86702,20022.0,963.0,15.95,False,298.0,735.0,154.0,Corpus Christi School,536.9000000000001,not ranked,Gilmore College For Girls,2614.7,387
ID607934863,24 Elphinstone St,WEST FOOTSCRAY,1300000.0,h,29/07/2017,4,2.0,2.0,588.0,49.0,-37.79458,144.87271,20022.0,1004.1,15.95,False,298.0,735.0,154.0,Footscray West Primary School,227.20000000000002,399,Footscray City College,1914.1999999999998,166
ID901642147,50 John St,ELWOOD,1410000.0,h,27/05/2017,2,1.0,1.0,249.0,89.0,-37.87964,144.9856,19955.0,943.2,21.33,False,1666.0,9333.667,523.0,Elwood Primary School,319.5,309,Elwood College,300.4,175
ID633491510,20 Vanin St,WOLLERT,525000.0,h,1/07/2017,4,2.0,2.0,415.0,69.0,-37.6161,145.03937,20005.0,4120.8,45.21,False,2524.333,12864.667,738.667,Glowrey Catholic Primary School,670.3,not ranked,Al Siraat College,922.6999999999999,280
ID287874106,6 Elswill St,BENTLEIGH EAST,1351000.0,h,20/05/2017,5,2.0,2.0,652.0,19.0,-37.9311,145.0651,19937.0,2516.3,37.5,False,959.0,4476.667,324.0,East Bentleigh Primary School,536.5,not ranked,Bentleigh Secondary College,624.8000000000001,230
ID846209850,1 Konrad St,BENTLEIGH EAST,1100000.0,h,4/06/2016,4,2.0,2.0,633.0,44.0,-37.9272,145.0644,19938.0,2550.5,35.69,False,925.667,4701.333,308.667,St Peter's School,735.5,345,Bentleigh Secondary College,404.5,230
ID341148100,1211/50 Albert Rd,SOUTH MELBOURNE,530000.0,u,3/06/2017,2,1.0,1.0,1646.0,7.0,-37.83406,144.97131000000005,22238.0,1794.9,6.43,False,1245.0,3886.0,447.667,Melbourne Grammar School,511.1,79,MacRobertson Girls High School,209.0,not ranked
ID146261868,342 Howe Pde,PORT MELBOURNE,1332000.0,h,8/04/2017,2,1.0,2.0,288.0,7.0,-37.8366,144.923,22180.0,3249.1,0.0,False,705.333,5479.667,335.0,Port Melbourne Primary School,961.0999999999999,325,Albert Park College,2327.7999999999997,131
ID416429886,27 Summerhill Rd,FOOTSCRAY,800000.0,h,9/09/2017,2,1.0,2.0,353.0,89.0,-37.79047,144.88289,20023.0,1280.2,13.21,False,2047.667,9171.0,742.333,Footscray North Primary School,306.20000000000005,235,Footscray City College,980.8,166
ID594919317,60 Robert St,LALOR,710000.0,h,29/07/2017,4,1.0,1.0,627.0,49.0,-37.66781,145.00926,20006.0,732.3,42.38,False,1360.667,6408.667,691.667,St Catherine's School,584.8,117,Peter Lalor Secondary College,357.70000000000005,not ranked
ID819442369,700 Rathdowne St,CARLTON NORTH,2175000.0,h,7/05/2016,4,1.0,0.0,418.0,99.0,-37.7808,144.9736,19969.0,1460.6,15.08,False,3703.667,18944.0,2039.333,Brunswick South Primary School,251.4,448,Princes Hill Secondary College,810.9,not ranked
ID211871057,1/38 Lynch St,FOOTSCRAY,357000.0,u,6/08/2016,1,1.0,0.0,0.0,39.0,-37.7964,144.9027,20025.0,523.1,9.41,False,1923.667,8979.333,620.333,St Monica's School,643.0,358,Gilmore College For Girls,750.1,387
ID950063909,172 Rossmoyne St,THORNBURY,1200000.0,h,27/06/2016,3,2.0,2.0,349.0,49.0,-37.7584,145.0115,20014.0,1197.3,26.12,False,2403.667,5212.333,586.667,Wales Street Primary School,418.3,175,Thornbury High School,1225.4,209
ID777558164,3 Molden St,BENTLEIGH EAST,1550000.0,h,18/06/2016,5,3.0,2.0,623.0,69.0,-37.9066,145.0541,19941.0,1327.1,30.83,False,925.667,4701.333,308.667,McKinnon Primary School,197.9,not ranked,McKinnon Secondary College,791.9000000000001,48
ID558363710,27 Warmington Rd,SUNSHINE WEST,530000.0,h,8/04/2017,3,1.0,1.0,573.0,49.0,-37.8017,144.8258,22241.0,1592.1,14.52,False,2532.333,5455.0,713.0,St Peter's School,566.1,345,Sunshine College,1295.9,233
ID462900295,18/180 Union St,BRUNSWICK WEST,435000.0,u,12/06/2016,2,1.0,1.0,0.0,17.0,-37.7727,144.9497,19969.0,833.2,15.08,False,958.667,5673.0,628.0,Brunswick South West Primary School,592.8,316,Brunswick Secondary College,508.4,211
ID401618928,44/2 Horizon Dr,MARIBYRNONG,495000.0,u,18/03/2017,2,2.0,2.0,37000.0,39.0,-37.7752,144.8925,20038.0,2573.0,15.27,False,717.333,1763.0,318.667,St Margaret's Primary School,933.4,216,Maribyrnong Secondary College,609.9,not ranked
ID650098309,906/330 Lygon St,BRUNSWICK EAST,550000.0,u,13/05/2017,2,1.0,1.0,1611.0,6.0,-37.7685,144.9724,19968.0,1130.9,16.83,False,817.667,1779.667,181.0,Brunswick East Primary School,759.3,not ranked,Sydney Road Community School,935.3000000000001,447
ID895380314,2A Hillcrest Av,BRIGHTON,1850000.0,h,19/08/2017,4,3.0,3.0,421.0,19.0,-37.90542,145.00603999999996,19952.0,307.5,26.67,False,2897.333,11243.0,942.0,Gardenvale Primary School,794.3,138,Firbank Grammar School,803.4,29
ID899315126,12/539 Glen Huntly Rd,ELSTERNWICK,550000.0,u,17/06/2017,2,1.0,1.0,1172.0,49.0,-37.88533,145.01049,19954.0,845.2,23.33,False,1666.0,9333.667,523.0,Adass Israel School,256.29999999999995,not ranked,Adass Israel School,256.29999999999995,534
ID504238324,3/2 Garden Rd,BENTLEIGH EAST,715000.0,u,27/06/2016,2,1.0,1.0,194.0,24.0,-37.9107,145.0598,19940.0,1888.9,31.83,False,925.667,4701.333,308.667,Valkstone Primary School,492.59999999999997,134,McKinnon Secondary College,1002.5,48
ID531047552,16/373 South Rd,BRIGHTON EAST,775000.0,u,7/11/2016,2,1.0,1.0,112.0,59.0,-37.9306,145.0284,19937.0,842.9,37.5,False,2744.333,10289.667,780.0,Bentleigh West Primary School,1124.0,31,Our Lady of the Sacred Heart College,1149.7,not ranked
ID825954020,4/5 Southey Ct,ELWOOD,717000.0,u,12/06/2016,2,1.0,1.0,0.0,69.0,-37.8758,144.9874,19955.0,688.7,21.33,True,1566.667,8895.333,491.0,Yesodei HaTorah College,447.2,277,Yesodei HaTorah College,447.2,38
ID950959919,55 Elphinstone St,WEST FOOTSCRAY,805000.0,h,27/06/2016,3,1.0,3.0,372.0,99.0,-37.796,144.8728,20022.0,939.4,15.95,False,268.333,736.0,128.333,Footscray West Primary School,251.0,399,Footscray City College,1945.0,166
ID452280228,9/81 Dodds St,SOUTHBANK,868000.0,u,4/06/2016,3,2.0,1.0,0.0,24.0,-37.8267,144.9687,22238.0,946.9,6.43,False,1100.667,3636.333,457.333,Melbourne Grammar School,1064.6,79,Victorian College Of The Arts Secondary School,385.40000000000003,not ranked
ID992889069,16 Ventnor St,BALWYN NORTH,1725000.0,h,29/04/2017,4,3.0,2.0,627.0,49.0,-37.7827,145.0945,19935.0,4122.1,30.94,True,959.0,4476.667,324.0,Boroondara Park Primary School,948.8,192,Marcellin College,1363.6,169
ID166094034,7/122 Glen Huntly Rd,ELWOOD,510000.0,u,11/03/2017,2,1.0,1.0,0.0,69.0,-37.8831,144.9896,19955.0,941.5,21.33,False,1666.0,9333.667,523.0,Elwood Primary School,208.1,309,Elwood College,396.0,175
ID762940240,3/50 Berembong Dr,KEILOR EAST,490000.0,u,13/05/2017,2,1.0,2.0,220.0,18.0,-37.7346,144.8584,20003.0,4997.6,25.36,False,591.667,1189.667,177.333,Keilor Heights Primary School,783.1,not ranked,Penleigh & Essendon Grammar School,1085.6,not ranked
ID269865397,3 Paget St,HUGHESDALE,2120000.0,h,10/09/2016,4,2.0,2.0,847.0,94.0,-37.8927,145.0781,19918.0,246.2,27.27,False,555.667,1129.0,160.667,Oakleigh Grammar,547.1,217,Oakleigh Grammar,547.1,270
ID357868758,25 Errol St,BRAYBROOK,550000.0,h,26/07/2016,4,2.0,1.0,288.0,19.0,-37.7775,144.855,22241.0,2301.5,14.52,False,2744.333,10289.667,780.0,Sunshine Harvester Primary School,1018.5,not ranked,Braybrook College,662.0,139
ID891995152,15 Ofarrell St,YARRAVILLE,1401000.0,h,19/11/2016,4,1.0,1.0,306.0,109.0,-37.8102,144.8885,19996.0,641.5,12.33,False,703.667,1502.0,135.667,St Augustine's School,409.0,not ranked,Gilmore College For Girls,1357.5,387
ID712509160,9 Ambon Ct,HEIDELBERG WEST,961000.0,h,28/05/2016,3,1.0,2.0,1179.0,59.0,-37.7411,145.0468,19936.0,1713.9,33.33,False,1150.667,7827.0,922.333,St Pius X School,649.9,not ranked,East Preston Islamic College,1224.9,491
ID387795916,22 Greenglade Ct,BLACKBURN NORTH,1300000.0,h,19/08/2017,4,2.0,2.0,543.0,13.0,-37.80651,145.16457,19899.0,1812.5,32.49,False,5.0,73.0,1.0,St Philip's School,217.70000000000002,269,Blackburn High School,1360.4,216
ID693821127,3 Grandview Rd,NIDDRIE,845000.0,h,26/08/2017,3,1.0,1.0,345.0,69.0,-37.73901,144.89154,20036.0,2744.1,19.76,False,84.333,293.333,23.0,St John Bosco's School,562.6,not ranked,Rosehill Secondary College,975.3,239
ID380850192,5/361 Royal Pde,PARKVILLE,401000.0,u,19/11/2016,1,1.0,1.0,0.0,129.0,-37.7852,144.9589,19970.0,732.1,13.08,False,136.333,302.667,42.0,Princes Hill Primary School,970.0,not ranked,Princes Hill Secondary College,572.2,not ranked
ID329422990,17 Dickmann St,RICHMOND,1590000.0,h,22/07/2017,3,2.0,1.0,83.0,8.0,-37.82458,144.99767,19907.0,209.4,11.67,True,885.0,1901.0,227.667,Richmond Primary School,568.9,260,Richmond High School,917.2,not ranked
ID414847680,4 Adrian St,BENTLEIGH EAST,780000.0,h,22/05/2016,3,1.0,1.0,710.0,53.0,-37.9324,145.0577,19937.0,1853.2,37.5,False,925.667,4701.333,308.667,Tucker Road Bentleigh Primary School,763.0,380,Bentleigh Secondary College,590.8,230
ID894032436,101 Kerr St,FITZROY,1750000.0,h,9/09/2017,3,1.0,1.0,152.0,24.0,-37.79662,144.9791,19975.0,1379.6,14.35,False,330.333,1855.0,82.0,Fitzroy Primary School,394.0,not ranked,Academy of Mary Immaculate,890.7,144
ID180754271,133 David Dr,SUNSHINE WEST,521000.0,t,29/04/2017,3,3.0,2.0,134.0,11.0,-37.79,144.7886,20020.0,1423.0,19.56,False,2532.333,5455.0,713.0,Ardeer South Primary School,931.8,not ranked,Marian College,1562.6,not ranked
ID469552861,2/111 Marlborough St,BENTLEIGH EAST,800000.0,u,18/06/2016,3,2.0,2.0,252.0,25.0,-37.9085,145.0683,19918.0,1723.5,27.27,False,925.667,4701.333,308.667,St Patrick's School,794.6999999999999,346,Sacred Heart Girls' College,1713.8,93
ID427030401,26 Stymie St,KINGSBURY,1250000.0,h,17/06/2017,5,3.0,2.0,544.0,79.0,-37.71499,145.02966999999995,20009.0,1942.5,35.44,False,92.333,260.0,36.667,Our Lady of the Way School,516.5,417,Reservoir High School,809.2,346
